T,genP,demP,H,B     
0,0,0.147,1,1       
0.5,0,0.121,1,1     
1,0,0.098,1,1       
1.5,0,0.133,1,1     
2,0,0.096,1,1       
2.5,0,0.116,1,1     
3,0,0.123,1,1       
3.5,0,0.086,1,1     
4,0,0.132,1,1       
4.5,0,0.097,1,1     
5,0,0.11,1,1        
5.5,0,0.164,1,1     
6,0,0.169,1,1       
6.5,0,0.151,1,1     
7,0.013,0.12,1,1    
7.5,0.025,0.107,1,1 
8,0.044,0.134,1,1   
8.5,0.056,0.099,1,1 
9,0.069,0.11,1,1    
9.5,0.094,0.118,1,1 
10,0.156,0.081,1,1  
10.5,0.119,0.123,1,1
11,0.1,0.084,1,1    
11.5,0.131,0.114,1,1
12,0.213,0.108,1,1  
12.5,0.244,0.089,1,1
13,0.238,0.129,1,1  
13.5,0.263,0.07,1,1 
14,0.219,0.128,1,1  
14.5,0.175,0.09,1,1 
15,0.188,0.111,1,1  
15.5,0.156,0.175,1,1
16,0.113,0.398,1,1  
16.5,0.081,0.238,1,1
17,0.063,0.207,1,1  
17.5,0.044,0.262,1,1
18,0.038,0.242,1,1  
18.5,0.013,0.478,1,1
19,0.006,0.359,1,1  
19.5,0,0.372,1,1    
20,0,0.389,1,1      
20.5,0,0.323,1,1    
21,0,0.329,1,1      
21.5,0,0.217,1,1    
22,0,0.129,1,1      
22.5,0,0.113,1,1    
23,0,0.142,1,1      
23.5,0,0.105,1,1    
