T,genP,demP,H,B
0,0,0.042,1,11
0.5,0,0.041,1,11
1,0,0.097,1,11
1.5,0,0.091,1,11
2,0,0.049,1,11
2.5,0,0.044,1,11
3,0,0.046,1,11
3.5,0,0.045,1,11
4,0,0.052,1,11
4.5,0,0.059,1,11
5,0,0.05,1,11
5.5,0,0.038,1,11
6,0,0.036,1,11
6.5,0.069,0.044,1,11
7,0.144,0.052,1,11
7.5,0.206,0.05,1,11
8,0.25,0.042,1,11
8.5,0.319,0.038,1,11
9,0.35,0.037,1,11
9.5,0.394,0.045,1,11
10,0.425,0.056,1,11
10.5,0.438,0.063,1,11
11,0.456,0.051,1,11
11.5,0.469,0.055,1,11
12,0.363,0.059,1,11
12.5,0.369,0.086,1,11
13,0.431,0.089,1,11
13.5,0.419,0.05,1,11
14,0.381,0.066,1,11
14.5,0.35,0.066,1,11
15,0.306,0.057,1,11
15.5,0.256,0.048,1,11
16,0.194,0.05,1,11
16.5,0.056,0.049,1,11
17,0.044,0.049,1,11
17.5,0.019,0.049,1,11
18,0.013,0.06,1,11
18.5,0.013,0.056,1,11
19,0,0.071,1,11
19.5,0,0.054,1,11
20,0,0.056,1,11
20.5,0,0.188,1,11
21,0,0.144,1,11
21.5,0,0.124,1,11
22,0,0.168,1,11
22.5,0,0.126,1,11
23,0,0.164,1,11
23.5,0,0.058,1,11
